Category,Product Name,Sentiment,Emotion,Customer Review,topic,theme,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Positive,Happy,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,4,Safe & neat packaging,Jakarta Utara,53500,4.9,5449,2369,5
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Positive,Happy,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",3,"Responsive, friendly seller",Kota Tangerang Selatan,72000,4.9,2359,1044,5
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Positive,Happy,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",1,Fast delivery,Jakarta Barat,213000,5.0,12300,3573,5
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Positive,Happy,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,13,Thanks & general praise,Jakarta Timur,55000,4.7,2030,672,5
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Positive,Happy,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",15,Good / works / authentic product,Jakarta Timur,55000,4.7,2030,672,5
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Positive,Happy,"barang bagus, seller ramah..",3,"Responsive, friendly seller",Jakarta Timur,55000,4.7,2030,672,5
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Positive,Happy,mantap paten joss,2,Good / works / authentic product,Jakarta Selatan,85000,4.9,1339,718,5
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Positive,Happy,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",3,"Responsive, friendly seller",Jakarta Barat,136500,5.0,1201,632,5
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Positive,Happy,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,13,Thanks & general praise,Jakarta Barat,136500,5.0,1201,632,5
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Positive,Happy,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,2,Good / works / authentic product,Jakarta Barat,113777,4.9,1630,777,5
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Positive,Happy,"Pengiriman super cepat, barang bagus, recommended seller, thanks",3,"Responsive, friendly seller",Jakarta Barat,113777,4.9,1630,777,5
Computers and Laptops,Adaptor Charger Laptop Asus A455LA A455LD A455LB A455 A455L Original,Positive,Happy,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,13,Thanks & general praise,Jakarta Utara,66000,4.8,2702,882,5
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Positive,Happy,"Penjual amanah, responsif. Kabel berfungsi baik. Pengiriman cepat. Terima kasih.",1,Fast delivery,Jakarta Pusat,25000,4.9,2122,828,5
Computers and Laptops,Charger Adaptor Laptop Acer Aspire E14 E5-421 E5-431 E5-471 E5-475G,Positive,Happy,"Alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",2,Good / works / authentic product,Jakarta Pusat,55000,4.9,2010,970,5
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Positive,Happy,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,3,"Responsive, friendly seller",Kota Bandung,127880,4.9,1257,700,5
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Positive,Happy,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",1,Fast delivery,Kota Bandung,127880,4.9,1257,700,5
